City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yellowknife,62.46,-114.35,21.0,85.0,20.0,6.93,CA,1603247361.0
saint-ambroise,48.55,-71.33,33.01,100.0,40.0,3.36,CA,1603247361.0
ushuaia,-54.8,-68.3,41.0,75.0,40.0,4.85,AR,1603247160.0
hobart,-42.88,147.33,68.0,51.0,40.0,5.82,AU,1603247361.0
terrace,54.52,-128.6,39.2,93.0,90.0,2.24,CA,1603247362.0
punta arenas,-53.15,-70.92,41.0,75.0,75.0,5.82,CL,1603247276.0
codrington,-38.27,141.97,58.26,70.0,4.0,7.47,AU,1603247362.0
sibu,2.3,111.82,82.4,78.0,20.0,4.7,MY,1603247362.0
toora-khem,52.47,96.11,28.67,89.0,99.0,3.02,RU,1603247362.0
kuala terengganu,5.33,103.14,86.0,74.0,20.0,3.36,MY,1603247363.0
kiama,-34.68,150.87,75.0,65.0,53.0,7.0,AU,1603247363.0
qaanaaq,77.48,-69.36,20.41,82.0,37.0,6.17,GL,1603247363.0
tsihombe,,,,,,,,
mareeba,-17.0,145.43,88.0,55.0,0.0,10.29,AU,1603247364.0
klaksvik,62.23,-6.59,39.2,72.0,39.0,5.82,FO,1603247364.0
albany,42.6,-73.97,55.0,85.0,100.0,4.03,US,1603247364.0
udachnyy,66.42,112.4,3.2,91.0,90.0,2.24,RU,1603247364.0
victoria,22.29,114.16,77.0,67.0,55.0,3.0,HK,1603247246.0
fairbanks,64.84,-147.72,23.0,85.0,90.0,0.96,US,1603247365.0
saint-philippe,-21.36,55.77,70.0,60.0,15.0,3.36,RE,1603247365.0
kodiak,57.79,-152.41,46.4,45.0,1.0,10.29,US,1603247365.0
dikson,73.51,80.55,24.03,97.0,94.0,5.01,RU,1603247365.0
okhotsk,59.38,143.3,27.79,78.0,97.0,7.67,RU,1603247366.0
bluff,-46.6,168.33,57.0,60.0,50.0,11.99,NZ,1603247366.0
naze,28.37,129.48,80.6,74.0,75.0,16.11,JP,1603247366.0
busselton,-33.65,115.33,71.01,39.0,0.0,6.29,AU,1603247366.0
banjar,-8.19,114.97,84.2,79.0,40.0,12.75,ID,1603247367.0
georgetown,5.41,100.34,82.0,88.0,20.0,4.7,MY,1603247367.0
castro,-24.79,-50.01,62.94,89.0,58.0,5.91,BR,1603247367.0
bredasdorp,-34.53,20.04,41.0,93.0,0.0,2.24,ZA,1603247367.0
jamestown,42.1,-79.24,48.99,100.0,90.0,5.82,US,1603247368.0
rikitea,-23.12,-134.97,74.08,75.0,24.0,9.31,PF,1603247368.0
lasa,46.62,10.7,48.99,100.0,5.0,5.82,IT,1603247368.0
waipawa,-41.41,175.52,63.0,67.0,45.0,21.92,NZ,1603247368.0
plettenberg bay,-34.05,23.37,53.06,79.0,0.0,2.13,ZA,1603247207.0
cape town,-33.93,18.42,51.01,81.0,0.0,3.36,ZA,1603247369.0
saskylakh,71.92,114.08,19.78,97.0,91.0,8.52,RU,1603247369.0
mataura,-46.19,168.86,57.0,60.0,17.0,11.99,NZ,1603247369.0
serov,59.6,60.58,29.05,98.0,97.0,4.32,RU,1603247369.0
kaitangata,-46.28,169.85,56.82,47.0,57.0,2.66,NZ,1603247370.0
port elizabeth,-33.92,25.57,50.0,87.0,7.0,2.24,ZA,1603247231.0
kavieng,-2.57,150.8,81.91,77.0,98.0,7.4,PG,1603247370.0
sitka,57.05,-135.33,42.8,75.0,75.0,3.53,US,1603247370.0
bambous virieux,-20.34,57.76,75.0,83.0,40.0,10.29,MU,1603247370.0
itarema,-2.92,-39.92,79.03,77.0,0.0,16.42,BR,1603247371.0
port alfred,-33.59,26.89,55.51,76.0,0.0,7.81,ZA,1603247371.0
bethel,41.37,-73.41,60.01,96.0,54.0,0.58,US,1603247371.0
avera,33.19,-82.53,68.0,94.0,1.0,4.7,US,1603247371.0
pasighat,28.07,95.33,75.81,79.0,15.0,1.39,IN,1603247372.0
umzimvubu,,,,,,,,
atuona,-9.8,-139.03,77.97,75.0,79.0,15.12,PF,1603247372.0
kapaa,22.08,-159.32,82.0,83.0,90.0,9.17,US,1603247372.0
cherskiy,68.75,161.3,23.02,97.0,97.0,4.41,RU,1603247373.0
vaini,-21.2,-175.2,75.2,69.0,75.0,6.93,TO,1603247373.0
nantucket,41.28,-70.1,64.0,93.0,90.0,4.7,US,1603247373.0
college,64.86,-147.8,23.0,79.0,90.0,1.01,US,1603247373.0
nikolskoye,59.7,30.79,30.99,92.0,90.0,3.44,RU,1603247373.0
hermanus,-34.42,19.23,51.01,85.0,0.0,3.0,ZA,1603247208.0
